country;geoname_id;latitude;longitude;north;east;south;west;en;cs;ru
KI;2110257;1.3278;172.97696;1.3536321907062605;173.00279705983274;1.3019676120308465;172.9511180593384;Tarawa;Jižní Tarawa;Южная Тарава
MH;2113779;7.08971;171.38027;7.1103206976132105;171.4010374610138;7.06910662143595;171.3595039780422;Majuro;Majuro;Маджуро
NR;7626461;-0.55085;166.9252;-0.5499535074284752;166.9260960539505;-0.5517522371786949;166.92429724133748;Yaren District;Yaren;Ярен
NZ;2179537;-41.28664;174.77557;-41.206452976823286;174.88215899587703;-41.36683270833811;174.66898465036297;Wellington;Wellington;Веллингтон
PW;7303944;7.50043;134.62355;7.518417014154294;134.64168987829078;7.482442419148586;134.60540332239322;Ngerulmud;Ngerulmud;Нгерулмуд
PG;2088122;-9.44314;147.17972;-9.37405361970154;147.24973454378284;-9.512216673431235;147.10970149137341;Port Moresby;Port Moresby;Порт-Морсби
WS;4035413;-13.83333;-171.76666;-13.807500710663234;-171.7400590232398;-13.859165289336765;-171.7932609767602;Apia;Apia;Апиа
SB;2108502;-9.43333;159.95;-9.40283435320775;159.98091430905257;-9.463832246792249;159.9190856909474;Honiara;Honiara;Хониара
TO;4032402;-21.13938;-175.2018;-21.120305589940767;-175.1813457264247;-21.158462410059233;-175.2222502735753;Nuku'alofa;Nuku'alofa;Нукуалофа
TV;2110394;-8.52425;179.19417;-8.51646090680593;179.20204878622306;-8.53203836338883;179.18629764741692;Funafuti;Funafuti;Фунафути
VU;2135171;-17.73381;168.32188;-17.70959223281816;168.3472973447024;-17.75802451356384;168.29645570705557;Port Vila;Port Vila;Порт-Вила
AR;3435910;-34.61315;-58.37723;-34.14375271358687;-57.81007217467676;-35.082544906698125;-58.94438339172943;Buenos Aires;Buenos Aires;Буэнос-Айрес
BO;3903987;-19.03332;-65.26274;-18.971823155841935;-65.19771185079676;-19.094809452800067;-65.32776269754308;Sucre;Sucre;Сукре
BR;3469058;-15.77972;-47.92972;-15.586880147303534;-47.72951752328918;-15.972559852696465;-48.129922476710824;Brasília;Brasília;Бразилия
CL;3871336;-33.45694;-70.64827;-33.17143365232475;-70.30718076123635;-33.7424418210141;-70.98935854540427;Santiago;Santiago de Chile;Сантьяго
CO;3688689;4.60971;-74.08175;4.969311246627284;-73.72079251620269;4.2501004529509325;-74.44271685269379;Bogotá;Bogotá;Богота
EC;3652462;-0.22985;-78.52495;-0.07630206471328238;-78.37139989617181;-0.3834058696872302;-78.6785039734571;Quito;Quito;Кито
GY;3378644;6.80448;-58.15527;6.8672785864369175;-58.092021129681775;6.741689116402647;-58.21851811592369;Georgetown;Georgetown;Джорджтаун
PY;3439389;-25.30066;-57.63591;-25.14262678080691;-57.46133818598259;-25.45868668266429;-57.810478067679604;Asunción;Asunción;Асунсьон
PE;3936456;-12.04318;-77.02824;-11.682117423388252;-76.65953464361185;-12.404246375217149;-77.39693813470855;Lima;Lima;Лима
SR;3383330;5.86638;-55.16682;5.927707379154093;-55.105158516577546;5.805050363363261;-55.228474906274016;Paramaribo;Paramaribo;Парамарибо
UY;3441575;-34.90328;-56.18816;-34.75701643969975;-56.0101260190009;-35.04955206060797;-56.36619195890437;Montevideo;Montevideo;Монтевидео
VE;3646738;10.48801;-66.87919;10.712852218785676;-66.65036354001118;10.263169781214325;-67.10802245998882;Caracas;Caracas;Каракас
